"","lon","lat","t","m"
"390",-116.263,34.623,11.7125231481481,3.43
"391",-116.279,34.53,11.7344675925926,3.08
"392",-116.425,34.86,11.7648958333333,3.14
"393",-116.207,34.441,11.8295601851852,3.39
"394",-116.362,34.678,11.9177430555556,3.18
"395",-116.384,34.826,11.9922916666667,3.22
"396",-116.268,34.615,12.5821296296296,3.13
"397",-116.287,34.537,12.6039467592593,3.37
"398",-116.271,34.509,12.8299884259259,3.1
"399",-116.273,34.522,13.4135763888889,4.31
"400",-116.241,34.526,13.5589699074074,3.47
"401",-116.258,34.566,13.5706828703704,3.52
"402",-116.317,34.795,13.6265277777778,3.08
"403",-116.229,34.562,13.7615972222222,3.05
"404",-116.294,34.809,13.8645601851852,3.28
"405",-116.355,34.848,14.0360532407407,4.11
"406",-116.409,34.855,14.286712962963,3.27
"407",-116.307,34.709,14.3596412037037,3.84
"408",-116.265,34.581,15.2221296296296,3.23
"409",-116.395,34.867,15.427650462963,3.26
"410",-116.184,34.425,15.7210763888889,3.44
"411",-116.375,34.7,15.7942361111111,3.24
"412",-116.338,34.83,15.8581597222222,3.08
"413",-116.851,34.305,16.0088194444444,3.15
"414",-116.118,34.323,16.0134722222222,3.42
"415",-116.263,34.553,16.278275462963,3.27
"416",-116.193,34.429,16.7297569444444,3
"417",-116.304,34.682,17.3109606481481,3.44
"418",-116.29,34.644,17.9525694444444,3.02
"419",-116.284,34.798,18.0495138888889,3.29
"420",-116.28333,34.79867,18.051400462963,3.77
"421",-116.357,34.84733,18.074224537037,4.04
"422",-116.362,34.84833,18.0756481481481,3.46
"423",-116.375,34.685,18.1226967592593,3.21
"424",-116.28267,34.70817,18.7161921296296,3.2
"425",-116.302,34.708,19.1381597222222,3.53
"426",-116.38733,34.839,19.7290740740741,3.31
"427",-116.309,34.8,20.6530555555556,3.04
"428",-116.29083,34.61683,20.6818634259259,3.36
"429",-116.252,34.504,20.9383333333333,3.08
"430",-116.383,34.83,21.0878472222222,3.5
"431",-116.334,34.833,21.6779976851852,3.36
"432",-116.292,34.79,22.2130208333333,4.03
"433",-116.4,34.865,22.2618634259259,3.03
"434",-116.307,34.605,22.3193055555556,3.21
"435",-116.32183,34.63567,22.4145023148148,3.1
"436",-116.34833,34.7785,23.2525,3.31
"437",-116.275,34.601,23.6182291666667,3.43
"438",-116.287,34.524,25.1071990740741,3.36
"439",-116.388,34.827,25.5514236111111,3.21
"440",-116.464,34.351,25.9571064814815,3.51
"441",-116.29017,34.6495,25.9823611111111,3.15
"442",-116.348,34.849,26.1848148148148,3.1
"443",-116.822,34.159,28.5269097222222,3.12
"444",-116.254,34.437,28.9680092592593,3.18
"445",-116.405,34.836,29.5271412037037,4.42
"446",-116.265,34.489,29.7252430555556,3.13
"447",-116.183,34.42,30.3898148148148,3.04
"448",-116.43,34.813,31.1744907407407,3.06
"449",-116.307,34.549,31.1747337962963,3
"450",-116.398,34.87,33.2277777777778,3.49
"451",-116.305,34.543,34.1780902777778,3.63
"452",-116.24883,34.61933,36.857337962963,3.19
"453",-116.335,34.702,37.1497337962963,3.15
"454",-116.191,34.41,38.5913078703704,3.03
"455",-116.409,34.838,40.1513310185185,3.46
"456",-116.309,34.669,42.7053472222222,3.28
"457",-116.2345,34.63,42.7062615740741,3.02
"458",-116.249,34.628,43.0391666666667,3.15
"459",-116.3495,34.8495,46.6273842592593,3.58
"460",-116.34,34.662,48.1762847222222,3.09
"461",-116.27,34.62,48.875,3.47
"462",-116.403,34.83567,49.4787731481482,3.09
"463",-116.304,34.689,51.8588078703704,3.11
"464",-116.345,34.851,53.246412037037,3.74
"465",-116.322,34.642,53.8780324074074,3.87
"466",-116.3,34.589,55.2886342592593,3.15
"467",-116.406,34.858,56.3025925925926,3.08
"468",-116.397,34.871,56.3029398148148,3.09
"469",-116.146,34.389,58.1712268518518,3.35
"470",-116.39,34.857,60.0873726851852,3.12
"471",-116.113,34.333,60.2152662037037,3.27
"472",-116.117,34.335,60.2159837962963,3.28
"473",-116.282,34.608,60.5027546296296,3.02
"474",-116.314,34.695,65.4348263888889,3.37
"475",-116.34467,34.85233,65.7938425925926,3.33
"476",-116.251,34.619,67.3124537037037,3.03
"477",-116.25,34.618,67.3166087962963,3.16
"478",-116.265,34.592,68.5346064814815,4.03
"479",-116.292,34.654,68.9603240740741,3.24
"480",-116.371,34.797,71.5646180555556,3.39
"481",-116.355,34.813,71.777974537037,3.84
"482",-116.371,34.792,74.2761574074074,3.2
"483",-116.294,34.675,74.6886574074074,3.18
"484",-116.294,34.703,74.9212962962963,3.81
"485",-116.285,34.665,76.6682407407407,3.18
"486",-116.287,34.801,77.0955439814815,3.04
"487",-116.072,34.309,78.6787962962963,3.14
"488",-116.334,34.665,88.6473726851852,3.13
"489",-116.273,34.59,89.3515046296296,3.24
"490",-116.194,34.43,89.3915856481482,3.4
"491",-116.337,34.669,91.6498842592593,3.06
"492",-116.765,34.295,96.2656828703704,3.35
"493",-116.323,34.851,99.179837962963,3.42
"494",-116.4495,34.39417,103.601377314815,3.55
"495",-116.29,34.609,104.408831018519,3.1
"496",-116.134,34.364,107.84662037037,3.48
"497",-116.33517,34.839,113.69212962963,3.03
"498",-116.286,34.796,117.284849537037,3.02
"499",-116.372,34.803,121.344884259259,4.36
"500",-116.37333,34.79883,121.431770833333,3.03
"501",-116.37,34.802,121.456388888889,3.27
"502",-116.346,34.792,131.375335648148,3.94
"503",-116.768,34.328,143.371238425926,3.52
"504",-116.308,34.543,144.0846875,3.09
"505",-116.312,34.015,146.594212962963,3.33
"506",-116.465,34.344,158.121180555556,3.16
"507",-116.40883,34.85683,168.395231481481,3.08
"508",-116.324,34.028,170.67974537037,3.61
"509",-116.285,34.502,172.747962962963,3.24
"510",-116.257,34.447,174.530150462963,3.19
"511",-116.26967,34.801,175.650717592593,3.01
"512",-116.40533,34.835,176.953206018519,3.59
"513",-116.269,34.795,182.940891203704,3.82
"514",-116.738,34.339,188.035613425926,3.26
"515",-116.255,34.436,189.322233796296,3.19
"516",-116.257,34.579,189.685960648148,3.37
"517",-116.369,34.691,191.000925925926,3.44
"518",-116.299,34.651,192.2328125,3.09
"519",-116.30683,34.6825,213.753344907407,3.42
"520",-116.309,34.671,215.542152777778,3.16
"521",-116.35583,34.69083,218.041527777778,3.36
"522",-116.868,34.294,218.157326388889,3.65
"523",-116.357,34.683,240.023587962963,3.9
"524",-116.29683,34.78217,254.543090277778,4.51
"525",-116.294,34.789,254.547939814815,3.66
"526",-116.299,34.777,254.879895833333,3.06
"527",-116.636,34.043,258.29162037037,3.6
"528",-116.407,34.819,272.821759259259,3.73
"529",-116.40817,34.82067,276.945092592593,3.14
"530",-116.095,34.716,281.885381944444,3.48
"531",-116.26617,34.80167,290.458043981481,3.19
"532",-116.454,34.366,306.085219907407,3.07
"533",-116.2985,34.72867,310.783159722222,3.17
"534",-116.35,34.876,327.703634259259,3.06
"535",-116.41667,34.93533,336.157685185185,3.57
"536",-116.28,34.53283,341.017430555556,3.06
"537",-116.25933,34.45,344.662222222222,3.23
"538",-116.419,34.93233,346.595532407407,3.12
"539",-116.27217,34.796,357.923055555556,3.12
"540",-116.77733,34.26567,413.282673611111,4.07
"541",-116.425,34.09,421.698668981481,3.18
"542",-116.698,34.009,422.682905092593,3.39
